nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
Cream Ale (L02);01C - Cream Ale (BJCP 2015);1.054;5.31;20;4.393526324527783;40;2017-05-19;Alejandro Fernandez;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-548dd7c2bbf40ce662002579-1495215580704
Cream Ale (Mundo Pastel);01C - Cream Ale (BJCP 2015);1.047;5.11;13.7;4.58182816885421;20;2018-05-12;Emanuel Cura Costa;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleMundoPastel-55eddbd71a69195c35006b10-1525998022719
Cream Ale - 20/11;01C - Cream Ale (BJCP 2015);1.06;6.13;16.4;7.696366449171172;20;2017-11-29;Pablo Jali;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle2011-5938c0a4c02e1b1d0090efc7-1511180147261
Cream Ale - CREDO by OMBU;01C - Cream Ale (BJCP 2015);1.046;4.7;15.4;4.190812550730187;20;2018-01-11;Guzmán Andreatta;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleCREDObyOMBU-551ac6c19a50be2a7d00004e-1515681476679
Cream Ale 1;01C - Cream Ale (BJCP 2015);1.053;5.55;16.9;3.672515222042176;22;2019-08-13;Diego;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle1-5c7ca50b6ef9a2000474bcd4-1558659454782
Cream Ale 10-11-18;01C - Cream Ale (BJCP 2015);1.05;4.91;13.2;7.983340083362725;22;2024-06-05;Pablo Jali;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle101118-5938c0a4c02e1b1d0090efc7-1541871077996
Cream Ale 12/10/17;01C - Cream Ale (BJCP 2015);1.039;3.99;16.1;3.7746831029570984;22;2017-10-14;Aldo Sona;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle121017-5990a4aed9b4181d0086a2ce-1507979544929
Cream Ale 2;01C - Cream Ale (BJCP 2015);1.044;4.5;3.8;4.219801827694554;22;2023-11-10;Gastón;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle2-58f18e4ff9178d1d0072d399-1699570987901
Cream Ale 50L;01C - Cream Ale (BJCP 2015);1.058;5.7;14.1;4.322941777390192;50;2020-12-18;Eladio Miguel;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle50Lcoronaleonel-5cf6acf819df330004110168-1608333204797
Cream Ale Concurso;01C - Cream Ale (BJCP 2015);1.055;5.62;16.6;4.002551349400779;20;2016-10-28;Farala Estrugo;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleConcurso-5646b5ccd70e9da112e43a08-1477682272368
Cream Ale Creek;01C - Cream Ale (BJCP 2015);1.044;4.5;20.7;6.7560473502668765;120;2017-05-18;Nicolas Garcia;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleCreek-57c61fcbab8a2d1d00a11b8d-1491658302348
Cream Ale HACEDORES;01C - Cream Ale (BJCP 2015);1.057;5.82;13.2;3.8378986589486628;120;2018-10-19;Alexis Boccacio;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleHACEDORES-5b215ed97f535b0004a60c84-1539918917011
Cream Ale JC;01C - Cream Ale (BJCP 2015);1.049;5.01;13.3;3.586696718345866;50;2021-12-07;JG JUAN GRIEGO;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleJC-5f306365fca9200004d4655c-1635699438455
Cream Ale L.V.;01C - Cream Ale (BJCP 2015);1.05;4.91;9.3;6.17404764896602;20;2024-06-06;Luis Villalba;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleLV-63ff9a95d737f21ed944de9f-1717687276790
Cream Ale Light;01C - Cream Ale (BJCP 2015);1.049;5.01;5.9;4.636611464381362;40;2018-08-22;Andina;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleLight-5b77fb6bb8798200042d2791-1534974525052
Cream Ale SILO;01C - Cream Ale (BJCP 2015);1.054;5.52;21;4.95810759806329;20;2021-11-12;Sebastian Nuñez Szymanski;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleSILO-553e99647111039c4500006a-1636735246340
Cream Ale W21;01C - Cream Ale (BJCP 2015);1.059;6.03;7.7;5.639503983014261;20;2019-12-03;Ezequiel Rosa;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleW21-5bd7949d2751eb000486aac6-1575334813047
Cream Ale de la Casa;01C - Cream Ale (BJCP 2015);1.054;5.52;8.7;4.58182816885421;5;2020-09-27;Anderson Navarrete;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAledelaCasa-5eaa3bc96b39390004c04ba2-1601182259814
Cream Ale del árbol de Oro;01C - Cream Ale (BJCP 2015);1.055;5.4;8.3;5.002375064726678;20;2020-05-18;Anderson Navarrete;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAledelrboldeOro-5eaa3bc96b39390004c04ba2-1589822737859
Cream Ale jate;01C - Cream Ale (BJCP 2015);1.047;4.62;16.6;3.995135015672565;55;2023-09-23;Eugenio Bertuola;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAlejate-637ebee8554933b63a6dae49-1695486491348
Cream Cascade Ale;01C - Cream Ale (BJCP 2015);1.056;5.72;28;10.381768786309381;30;2022-11-05;Guillermo E. Fittipaldi;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamCascadeAle-5a99b4e85cf151001dd74b51-1666913113924
Cream Lager;01C - Cream Ale (BJCP 2015);1.043;4.22;21.8;14.152676418132282;20;2020-05-12;Doble De Nos;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamLager-57435b989883221d000f0cb5-1478868692397
Cream Pfarrer;01C - Cream Ale (BJCP 2015);1.06;5.9;15.7;6.477134833215228;80;2019-05-09;Carlos Guillermo Kozel;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamPfarrer-5609f5d97b46052e28005adc-1544873387153
Cream ale;01C - Cream Ale (BJCP 2015);1.044;4.32;19.2;4.607345872135644;20;2018-09-08;mauro gerdes;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamale-5b48f379c37f460004508b85-1535852312883
Cream ale;01C - Cream Ale (BJCP 2015);1.061;6.23;15.7;5.336034352483495;100;2021-04-05;Emiliano Sebastian Martinez;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamale-5934ba8a6fcb241d0039a472-1617587569046
Cream ale;01C - Cream Ale (BJCP 2015);1.059;6.03;41.8;5.281898153991608;60;2021-05-30;Emiliano Sebastian Martinez;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamale-5934ba8a6fcb241d0039a472-1622416203705
Cream ale del black;01C - Cream Ale (BJCP 2015);1.049;5.01;17.9;4.796216149419802;50;2018-09-01;Esteban Di Lello;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamale-5aa07fba4fc6c0001d92bacf-1535840299384
Cream de Cuarentena;01C - Cream Ale (BJCP 2015);1.04;3.93;11.9;3.173344641637337;75;2020-06-05;Pablo Ceser;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamdeCuarentena-565cc047de3e80635daf5f22-1591393454640
Cream leprechaun ale;01C - Cream Ale (BJCP 2015);1.051;5.01;18.2;4.737649499682721;120;2017-07-05;carlos pati sosa;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamcornale-57ee633304cb941d00815a6d-1499232651804
Cream leprechaun verde;01C - Cream Ale (BJCP 2015);1.052;5.11;12.3;5.72285800926474;100;2020-03-05;Cesar Daniel Moro;https://www.brew-o-matic.com.ar/#/recipe/clone/Creamleprechaunverde-558958b379845cce58001557-1583441327780
Cream?;01C - Cream Ale (BJCP 2015);1.056;5.5;17.6;6.816521712461796;20;2020-08-24;Esteban Spada;https://www.brew-o-matic.com.ar/#/recipe/clone/Cream-577ade1f3a37cf1d00804e56-1511207808442
Crema;01C - Cream Ale (BJCP 2015);1.043;4.62;10.3;4.208539088937239;30;2019-11-21;Diego Vukovich;https://www.brew-o-matic.com.ar/#/recipe/clone/CafeconCrema-598c8ee9f324041d00d909cd-1568672105626
Creme ale x90;01C - Cream Ale (BJCP 2015);1.048;4.72;16.5;4.781471338864659;90;2020-03-31;Gusty;https://www.brew-o-matic.com.ar/#/recipe/clone/Doradadecasa-5d7c217135b1360004a19bbc-1585660182251
Daruma Meraki - メラキ -;01C - Cream Ale (BJCP 2015);1.044;4.73;15.6;4.714383510209708;45;2021-08-14;Daruma Cerveza;https://www.brew-o-matic.com.ar/#/recipe/clone/DarumaCreamAle-551aa7fe9a50be2a7d00002c-1427813433476
Despegados CA;01C - Cream Ale (BJCP 2015);1.047;4.62;20.8;4.799218205980274;20;2017-10-21;Juan Martinez;https://www.brew-o-matic.com.ar/#/recipe/clone/DespegadosCA-5950687096e6a01d0045d291-1502545893791
